season,n_legs,lifelines,worst_case_bets,worst_case_turnover,worst_case_payout,expected_payout,rpf_fees,poc_fees,gross_win_of_original_bets,fraction_saved,N_bets_total
2025,4,"3,2,1,1,1",1746,140308.06,593449.0223,0.0,2946.4692600000003,21739.6495,140308.06,0.3236929922135706,5394
2025,4,"4,2,1,1,1",2200,171771.61,694367.2469,0.0,3607.20381,26550.291,171771.61,0.4078605858361142,5394
2025,4,"5,2,1,1,1",2650,196883.6,805266.2559,0.0,4134.555600000001,30474.1145,196883.6,0.4912866147571376,5394
2025,4,"3,3,1,1,1",1780,141225.36,598005.5273,0.0,2965.73256,21882.9945,141225.36,0.3299962921764924,5394
2025,4,"4,3,1,1,1",2302,175472.52,713290.2904,0.0,3684.92292,27121.3735,175472.52,0.4267704857248795,5394
2025,4,"5,3,1,1,1",2801,202398.53,833071.7583999999,0.0,4250.36913,31326.425,202398.53,0.5192806822395254,5394
2025,4,"4,4,1,1,1",2321,176439.02,717965.5899,0.0,3705.21942,27269.098,176439.02,0.43029291805710046,5394
2025,4,"5,4,1,1,1",2856,204911.38,845586.6179,0.0,4303.13898,31710.602,204911.38,0.5294771968854283,5394
2025,4,"5,5,1,1,1",2874,205378.96,848663.8059,0.0,4312.95816,31781.989,205378.96,0.5328142380422692,5394
2025,4,"2,2,2,1,1",1197,94247.98,391223.1597,0.0,1979.20758,14632.513,94247.98,0.22191323692992213,5394
2025,4,"3,2,2,1,1",1755,140590.56,595011.5223,0.0,2952.40176,21784.5245,140590.56,0.3253615127919911,5394
2025,4,"4,2,2,1,1",2214,172269.11,697534.2469,0.0,3617.65131,26628.666,172269.11,0.41045606229143494,5394
2025,4,"5,2,2,1,1",2668,197619.1,809120.3559,0.0,4150.0011,30588.6895,197619.1,0.4946236559139785,5394
2025,4,"3,3,2,1,1",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,2,1,1",2328,176253.92,718042.9604,0.0,3701.33232,27242.3335,176253.92,0.43159065628476084,5394
2025,4,"5,3,2,1,1",2838,204147.93,840770.5284,0.0,4287.10653,31593.335,204147.93,0.5261401557285873,5394
2025,4,"4,4,2,1,1",2351,177265.11,723007.6949,0.0,3722.56731,27396.6115,177265.11,0.43585465331850204,5394
2025,4,"5,4,2,1,1",2906,207073.47,856332.8229,0.0,4348.54287,32041.4155,207073.47,0.5387467556544309,5394
2025,4,"5,5,2,1,1",2925,207545.05,859426.0109,0.0,4358.4460500000005,32113.4025,207545.05,0.5422691879866518,5394
2025,4,"3,3,3,1,1",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,1,1",2330,176295.97,718311.5729,0.0,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,1,1",2843,204274.98,841320.6409,0.0,4289.77458,31612.3925,204274.98,0.5270671116054876,5394
2025,4,"4,4,3,1,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,3,1,1",2916,207317.02,857320.6354,0.0,4353.6574200000005,32080.448,207317.02,0.5406006674082313,5394
2025,4,"5,5,3,1,1",2935,207788.6,860413.8234,0.0,4363.5606,32152.435,207788.6,0.5441230997404524,5394
2025,4,"4,4,4,1,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,1,1",2923,207452.17,859424.1204,0.0,4356.49557,32100.7205,207452.17,0.5418984056358918,5394
2025,4,"5,5,4,1,1",2943,207948.75,862662.3084,0.0,4366.92375,32176.4575,207948.75,0.5456062291434928,5394
2025,4,"5,5,5,1,1",2943,207948.75,862662.3084,0.0,4366.92375,32176.4575,207948.75,0.5456062291434928,5394
2025,4,"2,2,2,2,1",1197,94247.98,391223.1597,0.0,1979.20758,14632.513,94247.98,0.22191323692992213,5394
2025,4,"3,2,2,2,1",1755,140590.56,595011.5223,0.0,2952.40176,21784.5245,140590.56,0.3253615127919911,5394
2025,4,"4,2,2,2,1",2214,172269.11,697534.2469,0.0,3617.65131,26628.666,172269.11,0.41045606229143494,5394
2025,4,"5,2,2,2,1",2668,197619.1,809120.3559,0.0,4150.0011,30588.6895,197619.1,0.4946236559139785,5394
2025,4,"3,3,2,2,1",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,2,2,1",2328,176253.92,718042.9604,0.0,3701.33232,27242.3335,176253.92,0.43159065628476084,5394
2025,4,"5,3,2,2,1",2839,204197.93,840975.5284,0.0,4288.15653,31600.835,204197.93,0.5263255469039674,5394
2025,4,"4,4,2,2,1",2351,177265.11,723007.6949,0.0,3722.56731,27396.6115,177265.11,0.43585465331850204,5394
2025,4,"5,4,2,2,1",2907,207123.47,856537.8229,0.0,4349.59287,32048.9155,207123.47,0.5389321468298109,5394
2025,4,"5,5,2,2,1",2926,207595.05,859631.0109,0.0,4359.49605,32120.9025,207595.05,0.5424545791620319,5394
2025,4,"3,3,3,2,1",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,2,1",2330,176295.97,718311.5729,0.0,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,2,1",2844,204324.98,841525.6409,0.0,4290.82458,31619.8925,204324.98,0.5272525027808677,5394
2025,4,"4,4,3,2,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,3,2,1",2917,207367.02,857525.6354,0.0,4354.707420000001,32087.948,207367.02,0.5407860585836114,5394
2025,4,"5,5,3,2,1",2936,207838.6,860618.8234,0.0,4364.6106,32159.935,207838.6,0.5443084909158324,5394
2025,4,"4,4,4,2,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,2,1",2925,207552.17,860054.1204,0.0,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,2,1",2945,208048.75,863292.3084,0.0,4369.02375,32191.4575,208048.75,0.5459770114942529,5394
2025,4,"5,5,5,2,1",2945,208048.75,863292.3084,0.0,4369.02375,32191.4575,208048.75,0.5459770114942529,5394
2025,4,"3,3,3,3,1",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,3,1",2330,176295.97,718311.5729,0.0,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,3,1",2844,204324.98,841525.6409,0.0,4290.82458,31619.8925,204324.98,0.5272525027808677,5394
2025,4,"4,4,3,3,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,3,3,1",2917,207367.02,857525.6354,0.0,4354.707420000001,32087.948,207367.02,0.5407860585836114,5394
2025,4,"5,5,3,3,1",2936,207838.6,860618.8234,0.0,4364.6106,32159.935,207838.6,0.5443084909158324,5394
2025,4,"4,4,4,3,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,3,1",2925,207552.17,860054.1204,0.0,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,3,1",2946,208058.75,863352.3084,0.0,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"5,5,5,3,1",2946,208058.75,863352.3084,0.0,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"4,4,4,4,1",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,4,1",2925,207552.17,860054.1204,0.0,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,4,1",2946,208058.75,863352.3084,0.0,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"5,5,5,4,1",2946,208058.75,863352.3084,0.0,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"5,5,5,5,1",2946,208058.75,863352.3084,0.0,4369.23375,32192.9575,208058.75,0.5461624026696329,5394
2025,4,"2,2,2,2,2",1197,94247.98,391223.1597,0.0,1979.20758,14632.513,94247.98,0.22191323692992213,5394
2025,4,"3,2,2,2,2",1755,140590.56,595011.5223,0.0,2952.40176,21784.5245,140590.56,0.3253615127919911,5394
2025,4,"4,2,2,2,2",2214,172269.11,697534.2469,0.0,3617.65131,26628.666,172269.11,0.41045606229143494,5394
2025,4,"5,2,2,2,2",2668,197619.1,809120.3559,0.0,4150.0011,30588.6895,197619.1,0.4946236559139785,5394
2025,4,"3,3,2,2,2",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,2,2,2",2328,176253.92,718042.9604,0.0,3701.33232,27242.3335,176253.92,0.43159065628476084,5394
2025,4,"5,3,2,2,2",2839,204197.93,840975.5284,0.0,4288.15653,31600.835,204197.93,0.5263255469039674,5394
2025,4,"4,4,2,2,2",2351,177265.11,723007.6949,0.0,3722.56731,27396.6115,177265.11,0.43585465331850204,5394
2025,4,"5,4,2,2,2",2907,207123.47,856537.8229,0.0,4349.59287,32048.9155,207123.47,0.5389321468298109,5394
2025,4,"5,5,2,2,2",2926,207595.05,859631.0109,0.0,4359.49605,32120.9025,207595.05,0.5424545791620319,5394
2025,4,"3,3,3,2,2",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,2,2",2330,176295.97,718311.5729,0.0,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,2,2",2844,204324.98,841525.6409,0.0,4290.82458,31619.8925,204324.98,0.5272525027808677,5394
2025,4,"4,4,3,2,2",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,3,2,2",2917,207367.02,857525.6354,0.0,4354.707420000001,32087.948,207367.02,0.5407860585836114,5394
2025,4,"5,5,3,2,2",2936,207838.6,860618.8234,0.0,4364.6106,32159.935,207838.6,0.5443084909158324,5394
2025,4,"4,4,4,2,2",2354,177337.16,723436.8074,0.0,3724.08036,27407.419,177337.16,0.4364108268446422,5394
2025,4,"5,4,4,2,2",2925,207552.17,860054.1204,0.0,4358.59557,32115.7205,207552.17,0.5422691879866518,5394
2025,4,"5,5,4,2,2",2945,208048.75,863292.3084,0.0,4369.02375,32191.4575,208048.75,0.5459770114942529,5394
2025,4,"5,5,5,2,2",2945,208048.75,863292.3084,0.0,4369.02375,32191.4575,208048.75,0.5459770114942529,5394
2025,4,"3,3,3,3,2",1797,141733.86,600595.5273,0.0,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,3,2",2330,176295.97,718311.5729,0.0,3702.21537,27248.641,176295.97,0.43196143863552094,5394
